28/05/23 14:21:26 -> ..\index.js 	 -> 52764-86787-0Y1P3-m9g3Q-1IS6t
29/05/23 16:13:12 -> ..\index.js 	 -> 53695-92723-UvQ4J-ZTucJ-h4mEz
29/05/23 16:13:12 -> ..\index.js 	 -> [Function: mikaMDP]
29/05/23 16:13:30 -> ..\index.js 	 -> 53696-10430-T1cqh-79p36-5Sf2J
29/05/23 16:13:30 -> ..\index.js 	 -> [Function: mikaMDP]
29/05/23 16:15:59 -> ..\index.js 	 -> 53697-59603-sBpIZ-khwKH-sdQKd
29/05/23 16:15:59 -> ..\index.js 	 -> Ur.e}
29/05/23 16:16:15 -> ..\index.js 	 -> 53697-75658-5LfEq-gVulW-TbjFp
29/05/23 16:16:15 -> ..\index.js 	 -> (D5XF;xm\T
29/05/23 16:16:38 -> ..\index.js 	 -> 53697-98023-nyCzT-0hjwW-vL3fy
29/05/23 16:16:38 -> ..\index.js 	 -> nrlk+o3s50
29/05/23 16:19:19 -> ..\index.js 	 -> 53699-59830-0uSxZ-WK3ic-QIVeV
29/05/23 16:19:19 -> ..\index.js 	 -> u&8GULNn!,
